term,category,subcategory,n_words
shirt,garment,upperbody,1
blouse,garment,upperbody,1
top,garment,upperbody,1
t - shirt,garment,upperbody,3
sweatshirt,garment,upperbody,1
sweater,garment,upperbody,1
cardigan,garment,upperbody,1
jacket,garment,upperbody,1
vest,garment,upperbody,1
pant,garment,lowerbody,1
short,garment,lowerbody,1
skirt,garment,lowerbody,1
coat,garment,wholebody,1
dress,garment,wholebody,1
jumpsuit,garment,wholebody,1
cape,garment,wholebody,1
glass,accessory,head,1
hat,accessory,head,1
headband,accessory,head,1
head cover,accessory,head,2
hair accessory,accessory,head,2
tie,accessory,none,1
glove,accessory,arms_and_hands,1
watch,accessory,arms_and_hands,1
belt,accessory,none,1
leg warmer,accessory,legs_and_feet,2
tight,accessory,legs_and_feet,1
stocking,accessory,legs_and_feet,1
sock,accessory,legs_and_feet,1
shoe,accessory,legs_and_feet,1
bag,accessory,none,1
wallet,accessory,none,1
scarf,accessory,none,1
umbrella,accessory,none,1
hood,garment,garment_part,1
collar,garment,garment_part,1
lapel,garment,garment_part,1
epaulette,garment,garment_part,1
sleeve,garment,garment_part,1
pocket,garment,garment_part,1
neckline,garment,garment_part,1
buckle,garment,closure,1
zipper,garment,closure,1
applique,style,embellishment,1
bead,style,embellishment,1
bow,style,embellishment,1
flower,style,embellishment,1
fringe,style,embellishment,1
ribbon,style,embellishment,1
rivet,style,embellishment,1
ruffle,style,embellishment,1
sequin,style,embellishment,1
tassel,style,embellishment,1
classic,garment,garment_type,1
polo,garment,garment_type,1
undershirt,garment,garment_type,1
henley,garment,garment_type,1
ringer,garment,garment_type,1
raglan,garment,garment_type,1
rugby,garment,garment_type,1
sailor,garment,garment_type,1
crop,garment,garment_type,1
halter,garment,garment_type,1
camisole,garment,garment_type,1
tank,garment,garment_type,1
peasant,garment,garment_type,1
tube,garment,garment_type,1
tunic,garment,garment_type,1
smock,garment,garment_type,1
hoodie,garment,garment_type,1
blazer,garment,garment_type,1
pea,garment,garment_type,1
puffer,garment,garment_type,1
biker,garment,garment_type,1
trucker,garment,garment_type,1
bomber,garment,garment_type,1
anorak,garment,garment_type,1
safari,garment,garment_type,1
mao,garment,garment_type,1
nehru,garment,garment_type,1
norfolk,garment,garment_type,1
classic military,garment,garment_type,2
track,garment,garment_type,1
windbreaker,garment,garment_type,1
chanel,garment,garment_type,1
bolero,garment,garment_type,1
tuxedo,garment,garment_type,1
varsity,garment,garment_type,1
jean,garment,garment_type,1
sweatpant,garment,garment_type,1
legging,garment,garment_type,1
hip - hugger,garment,garment_type,3
cargo,garment,garment_type,1
culotte,garment,garment_type,1
capri,garment,garment_type,1
harem,garment,garment_type,1
jodhpur,garment,garment_type,1
peg,garment,garment_type,1
camo,garment,garment_type,1
booty,garment,garment_type,1
bermuda,garment,garment_type,1
trunk,garment,garment_type,1
boardshort,garment,garment_type,1
skort,garment,garment_type,1
roll - up,garment,garment_type,3
tie - up,garment,garment_type,3
lounge,garment,garment_type,1
bloomer,garment,garment_type,1
tutu,garment,garment_type,1
kilt,garment,garment_type,1
wrap,garment,garment_type,1
skater,garment,garment_type,1
hobble,garment,garment_type,1
sheath,garment,garment_type,1
ball gown,garment,garment_type,2
gypsy,garment,garment_type,1
rah - rah,garment,garment_type,3
prairie,garment,garment_type,1
flamenco,garment,garment_type,1
accordion,garment,garment_type,1
sarong,garment,garment_type,1
tulip,garment,garment_type,1
dirndl,garment,garment_type,1
godet,garment,garment_type,1
blanket,garment,garment_type,1
parka,garment,garment_type,1
trench,garment,garment_type,1
shearle,garment,garment_type,1
teddy bear,garment,garment_type,2
duster,garment,garment_type,1
raincoat,garment,garment_type,1
kimono,garment,garment_type,1
robe,garment,garment_type,1
duffle,garment,garment_type,1
military,garment,garment_type,1
swing,garment,garment_type,1
chemise,garment,garment_type,1
slip,garment,garment_type,1
cheongsam,garment,garment_type,1
jumper,garment,garment_type,1
shift,garment,garment_type,1
sundress,garment,garment_type,1
kaftan,garment,garment_type,1
bodycon,garment,garment_type,1
nightgown,garment,garment_type,1
gown,garment,garment_type,1
tea,garment,garment_type,1
blouson,garment,garment_type,1
asymmetrical,style,silhouette,1
symmetrical,style,silhouette,1
peplum,style,silhouette,1
circle,style,silhouette,1
flare,style,silhouette,1
fit and flare,style,silhouette,3
trumpet,style,silhouette,1
mermaid,style,silhouette,1
balloon,style,silhouette,1
bell,style,silhouette,1
bell bottom,style,silhouette,2
bootcut,style,silhouette,1
pencil,style,silhouette,1
straight,style,silhouette,1
a - line,style,silhouette,3
tent,style,silhouette,1
baggy,style,silhouette,1
wide leg,style,silhouette,2
high low,style,silhouette,2
curve,style,silhouette,1
regular,style,silhouette,1
loose,style,silhouette,1
oversize,style,silhouette,1
empire waistline,garment,waistline,2
drop waistline,garment,waistline,2
high waist,garment,waistline,2
normal waist,garment,waistline,2
low waist,garment,waistline,2
basque,garment,waistline,1
no waistline,garment,waistline,2
above - the - hip,style,length,5
hip,style,length,1
micro,style,length,1
mini,style,length,1
above - the - knee,style,length,5
knee,style,length,1
below the knee,style,length,3
midi,style,length,1
maxi,style,length,1
floor,style,length,1
sleeveless,style,length,1
elbow - length,style,length,3
three quarter,style,length,2
wrist - length,style,length,3
asymmetric,garment,garment_type,1
chelsea,garment,garment_type,1
band,garment,garment_type,1
